"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","BreaksWith25Percent","Windows, net8.0, Debug","Mon Sep 08 13:36:58 UTC 2025","passed","Mon Sep 08 13:36:58 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","0","FailsBreaksOrSkipesWith30Percent","MacOS, net9.0, Release","Mon Sep 08 13:36:04 UTC 2025","passed","Mon Sep 08 13:36:04 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","4","AlwaysPasses","Linux, net8.0, Release","Mon Sep 08 13:36:07 UTC 2025","passed","Mon Sep 08 13:36:07 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","5","AlwaysPasses","Windows, net9.0, Debug","Mon Sep 08 13:36:37 UTC 2025","passed","Mon Sep 08 13:36:37 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","4","AlwaysPasses","Linux, net9.0, Debug","Mon Sep 08 13:36:07 UTC 2025","passed","Mon Sep 08 13:36:07 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","25","FailsBreaksOrSkipesWith30Percent","MacOS, net8.0, Release","Mon Sep 08 13:36:05 UTC 2025","failed","Mon Sep 08 13:36:05 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","0","BreaksWith25Percent","Windows, net9.0, Debug","Mon Sep 08 13:36:37 UTC 2025","passed","Mon Sep 08 13:36:37 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","21","FailsBreaksOrSkipesWith30Percent","Linux, net9.0, Debug","Mon Sep 08 13:36:07 UTC 2025","failed","Mon Sep 08 13:36:07 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","6","FailsWith25Percent","Windows, net8.0, Release","Mon Sep 08 13:36:54 UTC 2025","passed","Mon Sep 08 13:36:54 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","0","BreaksWith25Percent","MacOS, net9.0, Release","Mon Sep 08 13:36:04 UTC 2025","passed","Mon Sep 08 13:36:04 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","4","FailsWith25Percent","MacOS, net9.0, Release","Mon Sep 08 13:36:04 UTC 2025","passed","Mon Sep 08 13:36:04 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","7","FailsWith25Percent","Windows, net9.0, Release","Mon Sep 08 13:36:35 UTC 2025","passed","Mon Sep 08 13:36:35 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","4","FailsWith25Percent","MacOS, net8.0, Release","Mon Sep 08 13:36:05 UTC 2025","passed","Mon Sep 08 13:36:05 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","5","AlwaysPasses","Linux, net8.0, Debug","Mon Sep 08 13:36:08 UTC 2025","passed","Mon Sep 08 13:36:08 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","0","BreaksWith25Percent","Windows, net9.0, Release","Mon Sep 08 13:36:35 UTC 2025","passed","Mon Sep 08 13:36:35 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","0","BreaksWith25Percent","Linux, net9.0, Release","Mon Sep 08 13:36:06 UTC 2025","passed","Mon Sep 08 13:36:06 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","4","AlwaysPasses","Linux, net9.0, Release","Mon Sep 08 13:36:06 UTC 2025","passed","Mon Sep 08 13:36:06 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","9","BreaksWith25Percent","MacOS, net8.0, Release","Mon Sep 08 13:36:05 UTC 2025","broken","Mon Sep 08 13:36:05 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","5","AlwaysPasses","Windows, net8.0, Release","Mon Sep 08 13:36:54 UTC 2025","passed","Mon Sep 08 13:36:54 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","14","FailsWith25Percent","Windows, net9.0, Debug","Mon Sep 08 13:36:38 UTC 2025","failed","Mon Sep 08 13:36:38 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","8","FailsWith25Percent","Linux, net9.0, Release","Mon Sep 08 13:36:06 UTC 2025","passed","Mon Sep 08 13:36:06 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","5","FailsBreaksOrSkipesWith30Percent","MacOS, net9.0, Debug","Mon Sep 08 13:36:01 UTC 2025","broken","Mon Sep 08 13:36:01 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","0","FailsBreaksOrSkipesWith30Percent","MacOS, net8.0, Debug","Mon Sep 08 13:36:06 UTC 2025","passed","Mon Sep 08 13:36:06 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","3","FailsWith25Percent","MacOS, net9.0, Debug","Mon Sep 08 13:36:01 UTC 2025","passed","Mon Sep 08 13:36:01 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","0","BreaksWith25Percent","MacOS, net8.0, Debug","Mon Sep 08 13:36:06 UTC 2025","passed","Mon Sep 08 13:36:06 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","4","FailsWith25Percent","MacOS, net8.0, Debug","Mon Sep 08 13:36:06 UTC 2025","passed","Mon Sep 08 13:36:06 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","0","BreaksWith25Percent","MacOS, net9.0, Debug","Mon Sep 08 13:36:01 UTC 2025","passed","Mon Sep 08 13:36:01 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","0","BreaksWith25Percent","Linux, net9.0, Debug","Mon Sep 08 13:36:07 UTC 2025","passed","Mon Sep 08 13:36:07 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","18","FailsBreaksOrSkipesWith30Percent","Windows, net9.0, Debug","Mon Sep 08 13:36:37 UTC 2025","skipped","Mon Sep 08 13:36:38 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","1","FailsBreaksOrSkipesWith30Percent","Windows, net8.0, Debug","Mon Sep 08 13:36:58 UTC 2025","passed","Mon Sep 08 13:36:58 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","3","AlwaysPasses","MacOS, net9.0, Release","Mon Sep 08 13:36:04 UTC 2025","passed","Mon Sep 08 13:36:04 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","4","AlwaysPasses","Windows, net9.0, Release","Mon Sep 08 13:36:35 UTC 2025","passed","Mon Sep 08 13:36:35 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","0","FailsBreaksOrSkipesWith30Percent","Windows, net9.0, Release","Mon Sep 08 13:36:35 UTC 2025","passed","Mon Sep 08 13:36:35 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","5","AlwaysPasses","MacOS, net8.0, Release","Mon Sep 08 13:36:05 UTC 2025","passed","Mon Sep 08 13:36:05 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","5","AlwaysPasses","Windows, net8.0, Debug","Mon Sep 08 13:36:58 UTC 2025","passed","Mon Sep 08 13:36:58 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","0","BreaksWith25Percent","Windows, net8.0, Release","Mon Sep 08 13:36:54 UTC 2025","passed","Mon Sep 08 13:36:54 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","0","FailsBreaksOrSkipesWith30Percent","Linux, net8.0, Release","Mon Sep 08 13:36:07 UTC 2025","passed","Mon Sep 08 13:36:07 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","9","FailsWith25Percent","Linux, net9.0, Debug","Mon Sep 08 13:36:07 UTC 2025","failed","Mon Sep 08 13:36:07 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","33","FailsWith25Percent","Linux, net8.0, Release","Mon Sep 08 13:36:07 UTC 2025","failed","Mon Sep 08 13:36:07 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","1","FailsBreaksOrSkipesWith30Percent","Linux, net9.0, Release","Mon Sep 08 13:36:06 UTC 2025","passed","Mon Sep 08 13:36:06 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","3","AlwaysPasses","MacOS, net8.0, Debug","Mon Sep 08 13:36:06 UTC 2025","passed","Mon Sep 08 13:36:06 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","31","FailsWith25Percent","Linux, net8.0, Debug","Mon Sep 08 13:36:08 UTC 2025","failed","Mon Sep 08 13:36:08 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","9","FailsWith25Percent","Windows, net8.0, Debug","Mon Sep 08 13:36:58 UTC 2025","passed","Mon Sep 08 13:36:58 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","3","AlwaysPasses","MacOS, net9.0, Debug","Mon Sep 08 13:36:01 UTC 2025","passed","Mon Sep 08 13:36:01 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","1","BreaksWith25Percent","Linux, net8.0, Release","Mon Sep 08 13:36:07 UTC 2025","passed","Mon Sep 08 13:36:07 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","0","BreaksWith25Percent","Linux, net8.0, Debug","Mon Sep 08 13:36:08 UTC 2025","passed","Mon Sep 08 13:36:08 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","0","FailsBreaksOrSkipesWith30Percent","Linux, net8.0, Debug","Mon Sep 08 13:36:08 UTC 2025","passed","Mon Sep 08 13:36:08 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","0","FailsBreaksOrSkipesWith30Percent","Windows, net8.0, Release","Mon Sep 08 13:36:54 UTC 2025","passed","Mon Sep 08 13:36:54 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
